date,risk_free_rate
2015-08-14,3.5714285714285714e-06
2015-08-17,3.968253968253968e-06
2015-08-18,2.7777777777777783e-06
2015-08-19,1.984126984126984e-06
2015-08-20,7.936507936507937e-07
2015-08-21,1.1904761904761904e-06
2015-08-24,2.3809523809523808e-06
2015-08-25,2.7777777777777783e-06
2015-08-26,2.3809523809523808e-06
2015-08-27,2.3809523809523808e-06
2015-08-28,2.3809523809523808e-06
2015-08-31,3.1746031746031746e-06
2015-09-01,1.1904761904761904e-06
2015-09-02,1.1904761904761904e-06
2015-09-03,7.936507936507937e-07
2015-09-04,7.936507936507937e-07
2015-09-08,2.3809523809523808e-06
2015-09-09,1.1904761904761904e-06
2015-09-10,7.936507936507937e-07
2015-09-11,1.5873015873015873e-06
2015-09-14,2.7777777777777783e-06
2015-09-15,2.7777777777777783e-06
2015-09-16,2.3809523809523808e-06
2015-09-17,3.9682539682539683e-07
2015-09-18,0.0
2015-09-21,3.9682539682539683e-07
2015-09-22,0.0
2015-09-23,3.9682539682539683e-07
2015-09-24,3.9682539682539683e-07
2015-09-25,0.0
2015-09-28,3.9682539682539683e-07
2015-09-29,3.9682539682539683e-07
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-05,3.9682539682539683e-07
2015-10-06,0.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,3.9682539682539683e-07
2015-10-13,3.9682539682539683e-07
2015-10-14,0.0
2015-10-15,3.9682539682539683e-07
2015-10-16,3.9682539682539683e-07
2015-10-19,7.936507936507937e-07
2015-10-20,7.936507936507937e-07
2015-10-21,3.9682539682539683e-07
2015-10-22,0.0
2015-10-23,3.9682539682539683e-07
2015-10-26,7.936507936507937e-07
2015-10-27,1.1904761904761904e-06
2015-10-28,1.5873015873015873e-06
2015-10-29,2.7777777777777783e-06
2015-10-30,3.1746031746031746e-06
2015-11-02,3.1746031746031746e-06
2015-11-03,2.3809523809523808e-06
2015-11-04,1.984126984126984e-06
2015-11-05,1.984126984126984e-06
2015-11-06,3.1746031746031746e-06
2015-11-09,5.555555555555557e-06
2015-11-10,5.158730158730158e-06
2015-11-12,5.555555555555557e-06
2015-11-13,5.555555555555557e-06
2015-11-16,5.9523809523809525e-06
2015-11-17,5.555555555555557e-06
2015-11-18,4.7619047619047615e-06
2015-11-19,4.365079365079366e-06
2015-11-20,4.7619047619047615e-06
2015-11-23,5.555555555555557e-06
2015-11-24,6.349206349206349e-06
2015-11-25,7.5396825396825394e-06
2015-11-27,7.142857142857143e-06
2015-11-30,8.730158730158731e-06
2015-12-01,8.333333333333332e-06
2015-12-02,8.333333333333332e-06
2015-12-03,8.333333333333332e-06
2015-12-04,9.126984126984127e-06
2015-12-07,1.1507936507936508e-05
2015-12-08,1.0714285714285714e-05
2015-12-09,1.0317460317460317e-05
2015-12-10,9.523809523809523e-06
2015-12-11,9.126984126984127e-06
2015-12-14,1.0317460317460317e-05
2015-12-15,9.92063492063492e-06
2015-12-16,1.0714285714285714e-05
2015-12-17,9.126984126984127e-06
2015-12-18,7.5396825396825394e-06
2015-12-21,9.523809523809523e-06
2015-12-22,8.333333333333332e-06
2015-12-23,7.936507936507936e-06
2015-12-24,7.936507936507936e-06
2015-12-28,9.126984126984127e-06
2015-12-29,9.126984126984127e-06
2015-12-30,8.333333333333332e-06
2015-12-31,6.349206349206349e-06
2016-01-04,8.730158730158731e-06
2016-01-05,7.936507936507936e-06
2016-01-06,8.333333333333332e-06
2016-01-07,7.936507936507936e-06
2016-01-08,7.936507936507936e-06
2016-01-11,8.333333333333332e-06
2016-01-12,8.333333333333332e-06
2016-01-13,8.730158730158731e-06
2016-01-14,9.92063492063492e-06
2016-01-15,9.523809523809523e-06
2016-01-19,1.0317460317460317e-05
2016-01-20,1.0317460317460317e-05
2016-01-21,1.1111111111111113e-05
2016-01-22,1.2301587301587301e-05
2016-01-25,1.2301587301587301e-05
2016-01-26,1.2301587301587301e-05
2016-01-27,1.2698412698412699e-05
2016-01-28,1.3888888888888888e-05
2016-01-29,1.3095238095238094e-05
2016-02-01,1.3888888888888888e-05
2016-02-02,1.3492063492063494e-05
2016-02-03,1.3095238095238094e-05
2016-02-04,1.1507936507936508e-05
2016-02-05,1.1904761904761905e-05
2016-02-08,1.2698412698412699e-05
2016-02-09,1.1904761904761905e-05
2016-02-10,1.2301587301587301e-05
2016-02-11,1.1111111111111113e-05
2016-02-12,1.1904761904761905e-05
2016-02-16,1.1904761904761905e-05
